,회사,양
0,Skikda Refinery (Sonatrach)," 150,000 bbl/day (16,50 million tonne/year)"
1,Skikda condensate Refinery (Sonatrach)," 100,000 bbl/day (5,00 million tonne/year)"
2,"Adrar Refinery (CNPC, Sonatrach)",12500 bbl/day (0.600 million tonne/year)
3,Algiers Refinery (Sonatrach),3.645 million tonne/year
4,Arzew Refinery (Sonatrach), 3.750 million tonne/year
5,Hassi Messaoud Refinery (Sonatrach),5.00 million tonne/year (in construction commissioning in 2024)
6,Cabinda Refinery (Chevron Corporation),"16,000 bbl/d (2,500 m3/d)"
7,Luanda Refinery (Sonangol),"56,000 bbl/d (8,900 m3/d)"
8,Limbé Refinery (Sonara),"42,600 bbl/d (6,770 m3/d)"
9,Djarmaya Refinery (Societe d'Etude et d'Explotation de la Raffinerie (SEERAT)),"20,000 bbl/d (3,200 m3/d)"
10,Pointe Noire Refinery (CORAF),"21,000 bbl/d (3,300 m3/d)"
11,Muanda Refinery (SOCIR),"15,000 bbl/d (2,400 m3/d) (not in working order since 2000[7])"
12,Alexandria Ameriya Refinery (EGPC),"81,000 bbl/d (12,900 m3/d)"
13,Alexandria El Mex Refinery (EGPC),"117,000 bbl/d (18,600 m3/d)"
14,Alexandria MIDOR Refinery (EGPC),"100,000 bbl/d (16,000 m3/d)"
15,Asyut Refinery (EGPC),"47,000 bbl/d (7,500 m3/d)"
16,Cairo Mostorod Refinery (EGPC),"142,000 bbl/d (22,600 m3/d)"
17,El Nasr Refinery (EGPC),"132,000 bbl/d (21,000 m3/d)"
18,El Suez Refinery (EGPC),"70,000 bbl/d (11,000 m3/d)"
19,Tanta Refinery (EGPC),"35,000 bbl/d (5,600 m3/d)"
20,Wadi Feran Refinery (EGPC),"8,550 bbl/d (1,359 m3/d)"
21,"BASHANDYOIL fossil crude oil refinery, 300,000 barrels per day, at El Sokna, Suez (under construction)",값 따로 넣어주기
22,Assab Refinery (Assab Refinery),"17,500 bbl/d (2,780 m3/d)"
23,Port Gentil Refinery (Sogara),"25,000 bbl/d (4,000 m3/d)"
24,Tema Oil Refinery (TOR),"45,000 bbl/d (7,200 m3/d)"
25,Abidjan Refinery (SIR),"68,000 bbl/d (10,800 m3/d)"
26,Abidjan Bitumen Refinery (SMBCI),"10,000 bbl/d (1,600 m3/d)"
27,Mombasa Refinery (KPRL),"70,000 bbl/d (11,000 m3/d"
28,Zawiya Refinery (National Oil Corporation),"120,000 bbl/d (19,000 m3/d)"
29,Ra's Lanuf Refinery (National Oil Corporation),"220,000 bbl/d (35,000 m3/d)"
30,El-Brega Refinery (National Oil Corporation),"10,000 bbl/d (1,600 m3/d)"
31,Sarir Refinery (Arabian Gulf Oil Company),"10,000 bbl/d (1,600 m3/d)"
32,Tobruk Refinery (Arabian Gulf Oil Company),"20,000 bbl/d (3,200 m3/d)"
33,Tomasina Refinery (Galana),"12,000 bbl/d (1,900 m3/d) destroyed in Cyclone Geralda 1994"
